new_origin_asn,new_origin_holder,prefixes,addresses,sellers
213890.0,novoros-as NOVOROS-TELECOM LLC,5,1280,1
219202.0,NEUROSIGNAL-AS NEUROSIGNAL LLC,2,512,2
213694.0,INLAN-AS INLAN LLC,1,512,1
213544.0,"Perspektiva-TV OOO TRK ""Perspektiva""",1,512,1
202799.0,SYSECT SYSECT D.O.O.,1,256,1
216178.0,svyazon-as Svyaz.ON LLC,1,256,1
214780.0,AS-KSU42 KuzbasSvyazUgol LLC,1,256,1
213191.0,IVC-DON-AS Osipenko Alexander Nikolaevich,1,256,1
202656.0,XServerCloud Ivanov Vitaliy Sergeevich,1,256,1
39493.0,RU-KSTV CJSC Kolomna-Sviaz TV,1,256,1
200195.0,"VERASEL Verasel, Inc.",1,256,1
196977.0,HANGENKOVO-NET-AS Private Entrepreneur Bubley Igor Yurievich,1,256,1
56766.0,BAHILOV Bahilov Ilya Vitalievich PE,1,256,1
50949.0,agronet-ru-as Agronet LLC,1,256,1
49418.0,AS-NETSHIELD NETSHIELD LTD,1,256,1
41039.0,"DON-FTTH Timer, LLC",1,256,1
29128.0,DSIP-AS Digital Service Ltd.,2,2,1
